Tempo;Altura;Velocidade;Força do Motor;Força de Tração;Energia do  Motor;Custo de Energia (R$)
2,2505611000015;0,36441436327999;3,6552759999176;6040;3320;20038,944239658;10,060985945695
2,2674942000012;0,43204411482526;3,9939379999123;6040;3320;22077,867039503;12,084790424316
2,2842390000005;0,5045295743837;4,3288339998981;6040;3320;24123,38551947;14,296100763601
2,3004901000022;0,58015985363204;4,6538559999317;6040;3320;26146,157359384;16,692831854878
2,317541700002;0,66533068585079;4,9948879999283;6040;3320;28109,290239587;19,269516793506
2,3334815000053;0,75002974609117;5,3136839999934;6040;3320;30169,123519567;22,0350197828
2,3508914000049;0,84860254552058;5,6618819999858;6040;3320;32094,65135996;24,977029490796
2,3669760000048;0,94484593988005;5,9835739999835;6040;3320;34197,767279914;28,111824824789
2,3843449000051;1,0548076120745;6,3309519999893;6040;3320;36140,7869599;31,424730296113
2,4011350000001;1,1667430783746;6,6667539998889;6040;3320;38238,950079936;34,929967386773
2,4167693000054;1,2758617372037;6,9794399999955;6040;3320;40267,194159329;38,621126851379
2,4338694000035;1,401059127533;7,3214419999567;6040;3320;42155,817599973;42,485410131376
2,4499159000043;1,5236924498367;7,642371999973;6040;3320;44221,509679739;46,539048518686
2,4674157000045;1,6635572913646;7,9923679999774;6040;3320;46159,926879837;50,770375149337
2,4840999000007;1,8024708081099;8,3260519999021;6040;3320;48273,902719864;55,195482898658
2,5006173000002;1,9454520294632;8,6563999998907;6040;3320;50289,354079409;59,805340355937
2,5167615000028;2,0904153862384;8,9792839999427;6040;3320;52284,65599934;64,59810048921
2,5337091000038;2,2483371226808;9,3182359999628;6040;3320;54234,875359654;69,569630730512
2,5508947000053;2,4143834962443;9,6619479999936;6040;3320;56282,145439775;74,728827395824
2,5668729000026;2,5738700912552;9,9815119999403;6040;3320;58358,165919961;80,078325938487
2,5840169000003;2,750871467677;10,324391999893;6040;3320;60288,332479639;85,604756415788
2,6001111000005;2,922214762877;10,646275999898;6040;3320;62359,327679354;91,321028119729
2,6172821;3,1109188328857;10,989695999888;6040;3320;64303,507039382;97,215516265005
2,6341815000051;3,3023498959324;11,327683999989;6040;3320;66377,763839322;103,30014461694
2,6502314000027;3,4893100771352;11,648681999941;6040;3320;68419,211359933;109,57190565827
2,6668636000031;3,6885858874371;11,98132599995;6040;3320;70358,039279643;116,02139259224
2,6837579000057;3,8967103507608;12,319212000002;6040;3320;72367,209039698;122,65505342088
2,700734500002;4,1116127841027;12,658743999928;6040;3320;74408,040480013;129,47579046488
2,7168953;4,3214116432434;12,981959999888;6040;3320;76458,813759562;136,4845150595
2,7336557000017;4,5446127058113;13,317167999921;6040;3320;78411,038399325;143,67219357944
2,7508105000015;4,778951802675;13,660263999918;6040;3320;80435,694719525;151,0454655954
2,766990300006;5,0052078607656;13,983860000008;6040;3320;82507,994559506;158,60869843002
2,7838852999994;5,2471739958686;14,321759999875;6040;3320;84462,514400046;166,35109558336
2,8005573000046;5,4915054903445;14,655199999979;6040;3320;86503,430399246;174,28057670329
2,8168202000015;5,7351311807057;14,980457999918;6040;3320;88517,407999875;182,39467243661
2,8338504000058;5,9960519308429;15,321062000003;6040;3320;90481,966319506;190,68885268257
2,8509275000033;6,2635237855721;15,662603999954;6040;3320;92539,214480016;199,1716140099
2,8667339000021;6,5160900150373;15,97873199993;6040;3320;94602,12815972;207,84347575787
2,8837178000031;6,7932402586505;16,318409999949;6040;3320;96511,54127958;216,69036704184
2,9007210000054;7,0764876238066;16,658473999996;6040;3320;98563,196399692;225,72532671181
2,9168787000017;7,3508716744773;16,981627999921;6040;3320;100617,18295998;234,94856848314
2,9340336000023;7,6480756165441;17,324725999933;6040;3320;102569,03311952;244,35072985243
2,9505562000049;7,9397850606134;17,655177999986;6040;3320;104641,3450396;253,94285314773
2,9674732000058;8,2441814046343;17,993518000003;6040;3320;106637,27511992;263,71793670038
2,9833335000003;8,5345949803897;18,310723999894;6040;3320;108680,84872002;273,68034783305
3,0006214000023;8,8571263755932;18,656481999933;6040;3320;110596,77295936;283,81838535433
3,0169250000035;9,1666103430109;18,982553999958;6040;3320;112685,1512796;294,14785755496
3,0340744000059;9,4980317930318;19,325542000006;6040;3320;114654,62615975;304,65786495293
3,0499324000048;9,8095257613248;19,642701999983;6040;3320;116726,27368004;315,3577733736
3,0678195;10,167275703101;20,000443999888;6040;3320;118641,9200799;326,23328271426
3,0834351000012;10,484471575717;20,312755999912;6040;3320;120802,68175933;337,30686187553
3,1005616000039;10,83822433145;20,655285999965;6040;3320;122689,04623947;348,55335778082
3,1165084000022;11,172696054804;20,974221999932;6040;3320;124757,92743979;359,98950112946
3,1336421000015;11,537933355781;21,316895999917;6040;3320;126684,30087959;371,60222871009
3,1498737000002;11,889209981637;21,641527999891;6040;3320;128754,0518395;383,40468346205
3,1682608000046;12,293896630152;22,00926999998;6040;3320;130714,82911934;395,38687613132
